rss_00019 431 44 -1.0882274e+05 -0.585771452719 -0.782315295094
rss_00012 460 73 -1.1038941e+05 -0.584141066535 -0.69396256806
rss_00009 432 45 -1.0878646e+05 -0.58354509334 -0.756574604113
rss_00007 424 37 -1.0831155e+05 -0.582946659822 -0.787128665597
rss_00003 450 63 -1.0964328e+05 -0.579937324699 -0.681367825034
rss_00018 470 83 -1.1072194e+05 -0.579045366115 -0.651875890799
rss_00008 445 58 -1.0924791e+05 -0.577245109608 -0.669456045481
rss_00002 421 34 -1.0789145e+05 -0.576758558127 -0.728521465702
rss_00004 443 56 -1.0905198e+05 -0.57526727292 -0.657103192253
rss_00006 456 69 -1.0976378e+05 -0.57504537484 -0.640218373758
rss_00000 433 46 -1.0818816e+05 -0.567876527034 -0.60532419713
rss_00015 417 30 -1.0726734e+05 -0.566779153444 -0.610042794957
rss_00014 402 15 -1.0639450e+05 -0.565424267542 -0.616995494291
rss_00001 423 36 -1.0750680e+05 -0.564606940027 -0.577308680379
rss_00017 424 37 -1.0751047e+05 -0.563365029506 -0.562733766838
rss_00013 414 27 -1.0669602e+05 -0.556583552985 -0.458517325862
rss_00016 413 26 -1.0645023e+05 -0.551763090671 -0.378174358063
rss_00011 449 62 -1.0752638e+05 -0.532364516888 -0.338484595892
rss_00010 420 33 -1.0574741e+05 -0.525223663308 -0.0772216803564
rss_00005 450 63 -7.4259422e+04 0.235013651604 5.13971057713
