rss_00000     -1.0818816e+05
rss_00001     -1.0750680e+05
rss_00002     -1.0789145e+05
rss_00003     -1.0964328e+05
rss_00004     -1.0905198e+05
rss_00005     -7.4259422e+04
rss_00006     -1.0976378e+05
rss_00007     -1.0831155e+05
rss_00008     -1.0924791e+05
rss_00009     -1.0878646e+05
rss_00010     -1.0574741e+05
rss_00011     -1.0752638e+05
rss_00012     -1.1038941e+05
rss_00013     -1.0669602e+05
rss_00014     -1.0639450e+05
rss_00015     -1.0726734e+05
rss_00016     -1.0645023e+05
rss_00017     -1.0751047e+05
rss_00018     -1.1072194e+05
rss_00019     -1.0882274e+05
